0.28657		0		0.57314
0.32214		0		0.64429
0.35771		0		0.71543
0.39329		0		0.78657
0.42886		0		0.85771
0.46443		0		0.92886
0.50000		0		1
0.68750		0		1
0.63859		0		0.92886
0.58968		0		0.85771
0.54077		0		0.78657
0.49186		0		0.71543
0.44295		0		0.64429
0.39404		0		0.57314
0.34513		0		0.50200
0.43925		0		0.50200
0.50150		0		0.57314
0.56375		0		0.64429
0.62600		0		0.71543
0.68825		0		0.78657
0.75050		0		0.85771
0.81275		0		0.92886
0.87500		0		1
1		0		0.93750
0.92886		0		0.87080
0.85771		0		0.80411
0.78657		0		0.73741
0.71543		0		0.67071
0.64429		0		0.60402
0.57314		0		0.53732
0.50200		0		0.47063
0.50200		0		0.37650
0.57314		0		0.42986
0.64429		0		0.48321
0.71543		0		0.53657
0.78657		0		0.58993
0.85771		0		0.64329
0.92886		0		0.69664
1		0		0.75000
1		0		0.56250
0.92886		0		0.52248
0.85771		0		0.48246
0.78657		0		0.44245
0.71543		0		0.40243
0.64429		0		0.36241
0.57314		0		0.32239
0.50200		0		0.28237
0.50200		0		0.18825
0.57314		0		0.21493
0.64429		0		0.24161
0.71543		0		0.26829
0.78657		0		0.29496
0.85771		0		0.32164
0.92886		0		0.34832
1		0		0.37500
1		0		0.18750
0.92886		0		0.17416
0.85771		0		0.16082
0.78657		0		0.14748
0.71543		0		0.13414
0.64429		0		0.12080
0.57314		0		0.10746
0.50200		0		0.09413
0.50200		0		0
0.57314		0		0
0.64429		0		0
0.71543		0		0
0.78657		0		0
0.85771		0		0
0.92886		0		0
1		0		0
1		0.18750		0
0.92886		0.17416		0
0.85771		0.16082		0
0.78657		0.14748		0
0.71543		0.13414		0
0.64429		0.12080		0
0.57314		0.10746		0
0.50200		0.09413		0
0.50200		0.18825		0
0.57314		0.21493		0
0.64429		0.24161		0
0.71543		0.26829		0
0.78657		0.29496		0
0.85771		0.32164		0
0.92886		0.34832		0
1		0.37500		0
1		0.56250		0
0.92886		0.52248		0
0.85771		0.48246		0
0.78657		0.44245		0
0.71543		0.40243		0
0.64429		0.36241		0
0.57314		0.32239		0
0.50200		0.28237		0
0.50200		0.37650		0
0.57314		0.42986		0
0.64429		0.48321		0
0.71543		0.53657		0
0.78657		0.58993		0
0.85771		0.64329		0
0.92886		0.69664		0
1		0.75000		0
1		0.93750		0
0.92886		0.87080		0
0.85771		0.80411		0
0.78657		0.73741		0
0.71543		0.67071		0
0.64429		0.60402		0
0.57314		0.53732		0
0.50200		0.47063		0
0.43925		0.50200		0
0.50150		0.57314		0
0.56375		0.64429		0
0.62600		0.71543		0
0.68825		0.78657		0
0.75050		0.85771		0
0.81275		0.92886		0
0.87500		1		0
0.68750		1		0
0.63859		0.92886		0
0.58968		0.85771		0
0.54077		0.78657		0
0.49186		0.71543		0
0.44295		0.64429		0
0.39404		0.57314		0
0.34513		0.50200		0
0.25100		0.50200		0
0.28657		0.57314		0
0.32214		0.64429		0
0.35771		0.71543		0
0.39329		0.78657		0
0.42886		0.85771		0
0.46443		0.92886		0
0.50000		1		0
0.31250		1		0
0.29027		0.92886		0
0.26804		0.85771		0
0.24580		0.78657		0
0.22357		0.71543		0
0.20134		0.64429		0
0.17911		0.57314		0
0.15687		0.50200		0
0.06275		0.50200		0
0.07164		0.57314		0
0.08054		0.64429		0
0.08943		0.71543		0
0.09832		0.78657		0
0.10721		0.85771		0
0.11611		0.92886		0
0.12500		1		0
0		1		0.06250
0		0.92886		0.05805
0		0.85771		0.05361
0		0.78657		0.04916
0		0.71543		0.04471
0		0.64429		0.04027
0		0.57314		0.03582
0		0.50200		0.03138
0		0.50200		0.12550
0		0.57314		0.14329
0		0.64429		0.16107
0		0.71543		0.17886
0		0.78657		0.19664
0		0.85771		0.21443
0		0.92886		0.23221
0		1		0.25000
0		1		0.43750
0		0.92886		0.40637
0		0.85771		0.37525
0		0.78657		0.34413
0		0.71543		0.31300
0		0.64429		0.28188
0		0.57314		0.25075
0		0.50200		0.21963
0		0.50200		0.31375
0		0.57314		0.35821
0		0.64429		0.40268
0		0.71543		0.44714
0		0.78657		0.49161
0		0.85771		0.53607
0		0.92886		0.58054
0		1		0.62500
0		1		0.81250
0		0.92886		0.75470
0		0.85771		0.69689
0		0.78657		0.63909
0		0.71543		0.58129
0		0.64429		0.52348
0		0.57314		0.46568
0		0.50200		0.40787
0		0.50200		0.50200
0		0.57314		0.57314
0		0.64429		0.64429
0		0.71543		0.71543
0		0.78657		0.78657
0		0.85771		0.85771
0		0.92886		0.92886
0		1		1
0		0.81250		1
0		0.75470		0.92886
0		0.69689		0.85771
0		0.63909		0.78657
0		0.58129		0.71543
0		0.52348		0.64429
0		0.46568		0.57314
0		0.40787		0.50200
0		0.31375		0.50200
0		0.35821		0.57314
0		0.40268		0.64429
0		0.44714		0.71543
0		0.49161		0.78657
0		0.53607		0.85771
0		0.58054		0.92886
0		0.62500		1
0		0.43750		1
0		0.40637		0.92886
0		0.37525		0.85771
0		0.34413		0.78657
0		0.31300		0.71543
0		0.28188		0.64429
0		0.25075		0.57314
0		0.21963		0.50200
0		0.12550		0.50200
0		0.14329		0.57314
0		0.16107		0.64429
0		0.17886		0.71543
0		0.19664		0.78657
0		0.21443		0.85771
0		0.23221		0.92886
0		0.25000		1
0		0.06250		1
0		0.05805		0.92886
0		0.05361		0.85771
0		0.04916		0.78657
0		0.04471		0.71543
0		0.04027		0.64429
0		0.03582		0.57314
0		0.03138		0.50200
0.06275		0		0.50200
0.07164		0		0.57314
0.08054		0		0.64429
0.08943		0		0.71543
0.09832		0		0.78657
0.10721		0		0.85771
0.11611		0		0.92886
0.12500		0		1
0.31250		0		1
0.29027		0		0.92886
0.26804		0		0.85771
0.24580		0		0.78657
0.22357		0		0.71543
0.20134		0		0.64429
0.17911		0		0.57314
0.15687		0		0.50200
0.25100		0		0.50200
0.28657		0		0.57314
0.32214		0		0.64429
0.35771		0		0.71543
0.39329		0		0.78657
0.42886		0		0.85771
0.46443		0		0.92886
0.50000		0		1
0.68750		0		1
0.63859		0		0.92886
0.58968		0		0.85771
0.54077		0		0.78657
0.49186		0		0.71543
0.44295		0		0.64429
0.39404		0		0.57314
0.34513		0		0.50200
0.43925		0		0.50200
0.50150		0		0.57314
0.56375		0		0.64429
0.62600		0		0.71543
0.68825		0		0.78657
0.75050		0		0.85771
0.81275		0		0.92886
0.87500		0		1
1		0		0.93750
0.92886		0		0.87080
0.85771		0		0.80411
0.78657		0		0.73741
0.71543		0		0.67071
0.64429		0		0.60402
0.57314		0		0.53732
0.50200		0		0.47063
0.50200		0		0.37650
0.57314		0		0.42986
0.64429		0		0.48321
0.71543		0		0.53657
0.78657		0		0.58993
0.85771		0		0.64329
0.92886		0		0.69664
1		0		0.75000
1		0		0.56250
0.92886		0		0.52248
0.85771		0		0.48246
0.78657		0		0.44245
0.71543		0		0.40243
0.64429		0		0.36241
0.57314		0		0.32239
0.50200		0		0.28237
0.50200		0		0.18825
0.57314		0		0.21493
0.64429		0		0.24161
0.71543		0		0.26829
0.78657		0		0.29496
0.85771		0		0.32164
0.92886		0		0.34832
1		0		0.37500
1		0		0.18750
0.92886		0		0.17416
0.85771		0		0.16082
0.78657		0		0.14748
0.71543		0		0.13414
0.64429		0		0.12080
0.57314		0		0.10746
0.50200		0		0
0.57314		0		0
0.64429		0		0
0.71543		0		0
0.78657		0		0
0.85771		0		0
0.92886		0		0
1		0		0
1		0.18750		0
0.92886		0.17416		0
0.85771		0.16082		0
0.78657		0.14748		0
0.71543		0.13414		0
0.64429		0.12080		0
0.57314		0.10746		0
0.50200		0.09413		0
0.50200		0.18825		0
0.57314		0.21493		0
0.64429		0.24161		0
0.71543		0.26829		0
0.78657		0.29496		0
0.85771		0.32164		0
0.92886		0.34832		0
1		0.37500		0
1		0.56250		0
0.92886		0.52248		0
0.85771		0.48246		0
0.78657		0.44245		0
0.71543		0.40243		0
0.64429		0.36241		0
0.57314		0.32239		0
0.50200		0.28237		0
0.50200		0.37650		0
0.57314		0.42986		0
0.64429		0.48321		0
0.71543		0.53657		0
0.78657		0.58993		0
0.85771		0.64329		0
0.92886		0.69664		0
1		0.75000		0
1		0.93750		0
0.92886		0.87080		0
0.85771		0.80411		0
0.78657		0.73741		0
0.71543		0.67071		0
0.64429		0.60402		0
0.57314		0.53732		0
0.50200		0.47063		0
0.43925		0.50200		0
0.50150		0.57314		0
0.56375		0.64429		0
0.62600		0.71543		0
0.68825		0.78657		0
0.75050		0.85771		0
0.81275		0.92886		0
0.87500		1		0
0.68750		1		0
0.63859		0.92886		0
0.58968		0.85771		0
0.54077		0.78657		0
0.49186		0.71543		0
0.44295		0.64429		0
0.39404		0.57314		0
0.34513		0.50200		0
0.25100		0.50200		0
0.28657		0.57314		0
0.32214		0.64429		0
0.35771		0.71543		0
0.39329		0.78657		0
0.42886		0.85771		0
0.46443		0.92886		0
0.50000		1		0
0.31250		1		0
0.29027		0.92886		0
0.26804		0.85771		0
0.24580		0.78657		0
0.22357		0.71543		0
0.20134		0.64429		0
0.17911		0.57314		0
0.15687		0.50200		0
0.06275		0.50200		0
0.07164		0.57314		0
0.08054		0.64429		0
0.08943		0.71543		0
0.09832		0.78657		0
0.10721		0.85771		0
0.11611		0.92886		0
0.12500		1		0
0		1		0.06250
0		0.92886		0.05805
0		0.85771		0.05361
0		0.78657		0.04916
0		0.71543		0.04471
0		0.64429		0.04027
0		0.57314		0.03582
0		0.50200		0.03138
0		0.50200		0.12550
0		0.57314		0.14329
0		0.64429		0.16107
0		0.71543		0.17886
0		0.78657		0.19664
0		0.85771		0.21443
0		0.92886		0.23221
0		1		0.25000
0		1		0.43750
0		0.92886		0.40637
0		0.85771		0.37525
0		0.78657		0.34413
0		0.71543		0.31300
0		0.64429		0.28188
0		0.57314		0.25075
0		0.50200		0.21963
0		0.50200		0.31375
0		0.57314		0.35821
0		0.64429		0.40268
0		0.71543		0.44714
0		0.78657		0.49161
0		0.85771		0.53607
0		0.92886		0.58054
0		1		0.62500
0		1		0.81250
0		0.92886		0.75470
0		0.85771		0.69689
0		0.78657		0.63909
0		0.71543		0.58129
0		0.64429		0.52348
0		0.57314		0.46568
0		0.50200		0.40787
0		0.50200		0.50200
0		0.57314		0.57314
0		0.64429		0.64429
0		0.71543		0.71543
0		0.78657		0.78657
0		0.85771		0.85771
0		0.92886		0.92886
0		1		1
0		0.81250		1
0		0.75470		0.92886
0		0.69689		0.85771
0		0.63909		0.78657
0		0.58129		0.71543
0		0.52348		0.64429
0		0.46568		0.57314
0		0.40787		0.50200
0		0.31375		0.50200
0		0.35821		0.57314
0		0.40268		0.64429
0		0.44714		0.71543
0		0.49161		0.78657
0		0.53607		0.85771
0		0.58054		0.92886
0		0.62500		1
0		0.43750		1
0		0.40637		0.92886
0		0.37525		0.85771
0		0.34413		0.78657
0		0.31300		0.71543
0		0.28188		0.64429
0		0.25075		0.57314
0		0.21963		0.50200
0		0.12550		0.50200
0		0.14329		0.57314
0		0.16107		0.64429
0		0.17886		0.71543
0		0.19664		0.78657
0		0.21443		0.85771
0		0.23221		0.92886
0		0.25000		1
0		0.06250		1
0		0.05805		0.92886
0		0.05361		0.85771
0		0.04916		0.78657
0		0.04471		0.71543
0		0.04027		0.64429
0		0.03582		0.57314
0		0.03138		0.50200
0.06275		0		0.50200
0.07164		0		0.57314
0.08054		0		0.64429
0.08943		0		0.71543
0.09832		0		0.78657
0.10721		0		0.85771
0.11611		0		0.92886
0.12500		0		1
0.31250		0		1
0.29027		0		0.92886
0.26804		0		0.85771
0.24580		0		0.78657
0.22357		0		0.71543
0.20134		0		0.64429
0.17911		0		0.57314
0.15687		0		0.50200
0.25100		0		0.50200
0.28657		0		0.57314
0.32214		0		0.64429
0.35771		0		0.71543
0.39329		0		0.78657
0.42886		0		0.85771
0.46443		0		0.92886
0.50000		0		1
0.68750		0		1
0.63859		0		0.92886
0.58968		0		0.85771
0.54077		0		0.78657
0.49186		0		0.71543
0.44295		0		0.64429
0.39404		0		0.57314
0.34513		0		0.50200
0.43925		0		0.50200
0.50150		0		0.57314
0.56375		0		0.64429
0.62600		0		0.71543
0.68825		0		0.78657
0.75050		0		0.85771
0.81275		0		0.92886
0.87500		0		1
1		0		0.93750
0.92886		0		0.87080
0.85771		0		0.80411
0.78657		0		0.73741
0.71543		0		0.67071
0.64429		0		0.60402
0.57314		0		0.53732
0.50200		0		0.47063
0.50200		0		0.37650
0.57314		0		0.42986
0.64429		0		0.48321
0.71543		0		0.53657
0.78657		0		0.58993
0.85771		0		0.64329
0.92886		0		0.69664
1		0		0.75000
1		0		0.56250
0.92886		0		0.52248
0.85771		0		0.48246
0.78657		0		0.44245
0.71543		0		0.40243
0.64429		0		0.36241
0.57314		0		0.32239
0.50200		0		0.28237
0.50200		0		0.18825
0.57314		0		0.21493
0.64429		0		0.24161
0.71543		0		0.26829
0.78657		0		0.29496
0.85771		0		0.32164
0.92886		0		0.34832
1		0		0.37500
1		0		0.18750
0.92886		0		0.17416
0.85771		0		0.16082
0.78657		0		0.14748
0.71543		0		0.13414
0.64429		0		0.12080
0.57314		0		0.10746
0.50200		0		0.09413
0.50200		0		0
0.57314		0		0
0.64429		0		0
0.71543		0		0
0.78657		0		0
0.85771		0		0
0.92886		0		0
1		0		0
1		0.18750		0
0.92886		0.17416		0
0.85771		0.16082		0
0.78657		0.14748		0
0.71543		0.13414		0
0.64429		0.12080		0
0.57314		0.10746		0
0.50200		0.09413		0
0.50200		0.18825		0
0.57314		0.21493		0
0.64429		0.24161		0
0.71543		0.26829		0
0.78657		0.29496		0
0.85771		0.32164		0
0.92886		0.34832		0
1		0.37500		0
1		0.56250		0
0.92886		0.52248		0
0.85771		0.48246		0
0.78657		0.44245		0
0.71543		0.40243		0
0.64429		0.36241		0
0.57314		0.32239		0
0.50200		0.28237		0
0.50200		0.37650		0
0.57314		0.42986		0
0.64429		0.48321		0
0.71543		0.53657		0
0.78657		0.58993		0
0.85771		0.64329		0
0.92886		0.69664		0
1		0.75000		0
1		0.93750		0
0.92886		0.87080		0
0.85771		0.80411		0
0.78657		0.73741		0
0.71543		0.67071		0
0.64429		0.60402		0
0.57314		0.53732		0
0.50200		0.47063		0
0.43925		0.50200		0
0.50150		0.57314		0
0.56375		0.64429		0
0.62600		0.71543		0
0.68825		0.78657		0
0.75050		0.85771		0
0.81275		0.92886		0
0.87500		1		0
0.68750		1		0
0.63859		0.92886		0
0.58968		0.85771		0
0.54077		0.78657		0
0.49186		0.71543		0
0.44295		0.64429		0
0.39404		0.57314		0
0.34513		0.50200		0
0.25100		0.50200		0
0.28657		0.57314		0
0.32214		0.64429		0
0.35771		0.71543		0
0.39329		0.78657		0
0.42886		0.85771		0
0.46443		0.92886		0
0.50000		1		0
0.31250		1		0
0.29027		0.92886		0
0.26804		0.85771		0
0.24580		0.78657		0
0.22357		0.71543		0
0.20134		0.64429		0
0.17911		0.57314		0
0.15687		0.50200		0
0.06275		0.50200		0
0.07164		0.57314		0
0.08054		0.64429		0
0.08943		0.71543		0
0.09832		0.78657		0
0.10721		0.85771		0
0.11611		0.92886		0
0.12500		1		0
0		1		0.06250
0		0.92886		0.05805
0		0.85771		0.05361
0		0.78657		0.04916
0		0.71543		0.04471
0		0.64429		0.04027
0		0.57314		0.03582
0		0.50200		0.03138
0		0.50200		0.12550
0		0.57314		0.14329
0		0.64429		0.16107
0		0.71543		0.17886
0		0.78657		0.19664
0		0.85771		0.21443
0		0.92886		0.23221
0		1		0.25000
0		1		0.43750
0		0.92886		0.40637
0		0.85771		0.37525
0		0.78657		0.34413
0		0.71543		0.31300
0		0.64429		0.28188
0		0.57314		0.25075
0		0.50200		0.21963
0		0.50200		0.31375
0		0.57314		0.35821
0		0.64429		0.40268
0		0.71543		0.44714
0		0.78657		0.49161
0		0.85771		0.53607
0		0.92886		0.58054
0		1		0.62500
0		1		0.81250
0		0.92886		0.75470
0		0.85771		0.69689
0		0.78657		0.63909
0		0.71543		0.58129
0		0.64429		0.52348
0		0.57314		0.46568
0		0.50200		0.40787
0		0.50200		0.50200
0		0.57314		0.57314
0		0.64429		0.64429
0		0.71543		0.71543
0		0.78657		0.78657
0		0.85771		0.85771
0		0.92886		0.92886
0		1		1
0		0.81250		1
0		0.75470		0.92886
0		0.69689		0.85771
0		0.63909		0.78657
0		0.58129		0.71543
0		0.52348		0.64429
0		0.46568		0.57314
0		0.40787		0.50200
0		0.31375		0.50200
0		0.35821		0.57314
0		0.40268		0.64429
0		0.44714		0.71543
0		0.49161		0.78657
0		0.53607		0.85771
0		0.58054		0.92886
0		0.62500		1
0		0.43750		1
0		0.40637		0.92886
0		0.37525		0.85771
0		0.34413		0.78657
0		0.31300		0.71543
0		0.28188		0.64429
0		0.25075		0.57314
0		0.21963		0.50200
0		0.12550		0.50200
0		0.14329		0.57314
0		0.16107		0.64429
0		0.17886		0.71543
0		0.19664		0.78657
0		0.21443		0.85771
0		0.23221		0.92886
0		0.25000		1
0		0.06250		1
0		0.05805		0.92886
0		0.05361		0.85771
0		0.04916		0.78657
0		0.04471		0.71543
0		0.04027		0.64429
0		0.03582		0.57314
0		0.03138		0.50200
0.06275		0		0.50200
0.07164		0		0.57314
0.08054		0		0.64429
0.08943		0		0.71543
0.09832		0		0.78657
0.10721		0		0.85771
0.11611		0		0.92886
0.12500		0		1
0.31250		0		1
0.29027		0		0.92886
0.26804		0		0.85771
0.24580		0		0.78657
0.22357		0		0.71543
0.20134		0		0.64429
0.17911		0		0.57314
0.15687		0		0.50200
0.25100		0		0.50200
0.28657		0		0.57314
0.32214		0		0.64429
0.35771		0		0.71543
0.39329		0		0.78657
0.42886		0		0.85771
0.46443		0		0.92886
0.50000		0		1
0.68750		0		1
0.63859		0		0.92886
0.58968		0		0.85771
0.54077		0		0.78657
0.49186		0		0.71543
0.44295		0		0.64429
0.39404		0		0.57314
0.34513		0		0.50200
0.43925		0		0.50200
0.50150		0		0.57314
0.56375		0		0.64429
0.62600		0		0.71543
0.68825		0		0.78657
0.75050		0		0.85771
0.81275		0		0.92886
0.87500		0		1
1		0		0.93750
0.92886		0		0.87080
0.85771		0		0.80411
0.78657		0		0.73741
0.71543		0		0.67071
0.64429		0		0.60402
0.57314		0		0.53732
0.50200		0		0.47063
0.50200		0		0.37650
0.57314		0		0.42986
0.64429		0		0.48321
0.71543		0		0.53657
0.78657		0		0.58993
0.85771		0		0.64329
0.92886		0		0.69664
1		0		0.75000
1		0		0.56250
0.92886		0		0.52248
0.85771		0		0.48246
0.78657		0		0.44245
0.71543		0		0.40243
0.64429		0		0.36241
0.57314		0		0.32239
0.50200		0		0.28237
0.50200		0		0.18825
0.57314		0		0.21493
0.64429		0		0.24161
0.71543		0		0.26829
0.78657		0		0.29496
0.85771		0		0.32164
0.92886		0		0.34832
1		0		0.37500
1		0		0.18750
0.92886		0		0.17416
0.85771		0		0.16082
0.78657		0		0.14748
0.71543		0		0.13414
0.64429		0		0.12080
0.57314		0		0.10746


